# Generated at: 2025-10-29 09:18
factor,value
col_177_ols,-0.404412
col_178_ols,0.103802
col_179_ols,0.152527
col_180_ols,-0.489955
col_181_ols,-0.388745
col_182_ols,0.229982
col_183_ols,-0.225130
col_184_ols,0.073453
col_185_ols,0.809432
col_186_ols,-0.349564
col_187_ols,-0.529842
col_188_ols,0.204055
col_189_ols,0.050137
col_190_ols,0.123347
col_191_ols,-0.186427
col_192_ols,-0.016125
col_193_ols,0.080114
col_194_ols,0.703311
col_195_ols,-0.053656
col_196_ols,0.014583
col_197_ols,0.161713
col_198_ols,0.078101
col_199_ols,0.223362
col_200_ols,0.552158
col_201_ols,0.479851
col_202_ols,-0.074340
col_203_ols,0.043562
col_204_ols,-0.053068
col_205_ols,1.235116
col_206_ols,-0.017507
col_207_ols,0.189758
col_208_ols,0.751195
col_209_ols,-0.335343
col_210_ols,-0.078412
col_211_ols,0.721891
col_212_ols,-0.538748
col_213_ols,-0.697407
col_214_ols,-0.325011
col_215_ols,-0.154893
col_216_ols,0.361376
col_217_ols,1.194622
col_218_ols,-0.019421
col_219_ols,1.068416
col_220_ols,-0.485991
col_221_ols,0.910530
col_222_ols,0.162919
col_223_ols,0.180081
col_224_ols,0.215145
col_225_ols,0.353727
col_226_ols,0.717912
col_227_ols,-0.010225
col_228_ols,0.882660
col_229_ols,-0.219931
col_230_ols,0.508384
col_231_ols,-0.346317
col_232_ols,0.145424
col_233_ols,0.223527
col_234_ols,-0.797083
col_235_ols,0.026596
col_236_ols,0.197854
col_237_ols,0.173288
col_238_ols,0.542201
col_239_ols,0.265708
col_240_ols,-0.254406
col_241_ols,-0.103493
col_242_ols,-0.308642
col_243_ols,-0.126078
col_244_ols,1.231431
col_245_ols,0.485200
col_246_ols,-0.016656
col_247_ols,0.001675
col_248_ols,0.229940
col_249_ols,-0.226115
col_250_ols,0.351888
col_251_ols,-0.103244
col_252_ols,0.463431
col_253_ols,0.124654
col_254_ols,0.348388
col_255_ols,0.390966
col_256_ols,-0.057185
col_257_ols,0.175554
col_258_ols,0.434674
col_259_ols,-0.212900
col_260_ols,0.069798
col_261_ols,-0.125079
col_262_ols,-0.370833
col_263_ols,0.533901
col_264_ols,-0.098468
col_265_ols,-0.049948
col_266_ols,-0.586287
col_267_ols,0.778205
col_268_ols,-0.220772
col_269_ols,0.051559
col_270_ols,0.193571
col_271_ols,-0.207133
col_272_ols,0.057243
col_273_ols,-0.268862
col_274_ols,1.635231
col_275_ols,-0.213454
col_276_ols,0.061261
col_277_ols,-0.499504
col_278_ols,-0.937417
col_279_ols,0.259565
col_280_ols,-0.654853
col_281_ols,-0.074969
col_282_ols,0.447569
col_283_ols,-0.392599
col_284_ols,-0.289648
col_285_ols,0.415077
col_286_ols,0.009784
col_287_ols,0.233505
col_288_ols,0.040537
col_289_ols,0.046345
col_290_ols,0.285610
col_291_ols,0.366135
col_292_ols,0.653623
col_293_ols,-0.033424
col_294_ols,0.206027
col_295_ols,-0.373770
col_296_ols,0.094239
col_297_ols,0.761925
col_298_ols,-0.309403
col_299_ols,0.093111
col_300_ols,0.395191
col_301_ols,-0.387298
col_302_ols,0.019786
col_303_ols,0.154888
col_304_ols,0.928827
col_305_ols,-0.265783
col_306_ols,-0.310493
col_307_ols,-0.605745
col_308_ols,-0.157143
col_309_ols,0.359789
col_310_ols,-0.067313
col_311_ols,0.125089
col_312_ols,-0.011218
col_313_ols,-0.020969
col_314_ols,0.331047
col_315_ols,-0.504159
col_316_ols,0.001794
col_317_ols,0.339578
col_318_ols,-0.260620
col_319_ols,-0.200104
col_320_ols,-0.463892
col_321_ols,0.280857
col_322_ols,0.993764
col_323_ols,-0.516395
col_324_ols,-0.403809
col_325_ols,0.376557
col_326_ols,-0.239294
col_327_ols,-0.102346
col_328_ols,1.580682
col_329_ols,-0.229051
col_330_ols,0.055452
col_331_ols,1.260377
col_332_ols,0.636866
col_333_ols,-0.241197
col_334_ols,-1.781250
col_335_ols,-0.780153
col_336_ols,-0.347618
col_337_ols,0.533461
col_338_ols,-0.162312
col_339_ols,-0.214121
col_340_ols,-0.495421
col_341_ols,0.381133
col_342_ols,-0.156669
col_343_ols,1.040586
col_344_ols,0.089332
col_345_ols,-0.246640
col_346_ols,1.235970
col_347_ols,-0.186802
col_348_ols,0.109293
col_349_ols,0.035163
col_350_ols,-0.421091
col_351_ols,-0.088950
col_352_ols,-0.071482
col_353_ols,-0.379381
col_354_ols,-1.523002
col_355_ols,0.117719
col_356_ols,0.685917
col_357_ols,-0.344899
col_358_ols,-0.228203
col_359_ols,-0.826791
col_360_ols,0.841194
col_361_ols,0.458928
col_362_ols,-0.976012
col_363_ols,0.554768
col_364_ols,0.167055
col_365_ols,-0.480119
col_366_ols,-0.581257
col_367_ols,-0.202908
col_368_ols,-0.558313
col_369_ols,-1.183934
col_370_ols,0.111976
col_371_ols,-0.377709
col_372_ols,-0.392018
col_373_ols,0.880526
col_374_ols,0.133522
col_375_ols,0.272685
col_376_ols,-0.031231
col_377_ols,-0.733928
col_378_ols,-0.154678
col_379_ols,0.060771
col_380_ols,-0.527784
col_381_ols,-0.286918
col_382_ols,-0.069188
col_383_ols,-0.265810
col_384_ols,-0.464748
col_385_ols,-0.421409
col_386_ols,0.350945
col_387_ols,-0.060146
col_388_ols,-0.282498
col_389_ols,0.289261
col_390_ols,0.222829
col_391_ols,-0.204130
col_392_ols,0.971777
col_393_ols,-0.186838
col_394_ols,-0.571551
col_395_ols,0.296510
col_396_ols,0.772663
col_397_ols,0.314203
col_398_ols,0.229236
col_399_ols,-0.150329
col_400_ols,-0.026912
col_401_ols,0.264441
col_402_ols,-1.356140
col_403_ols,0.378399
col_404_ols,0.295494
col_405_ols,0.707537
col_406_ols,0.333283
col_407_ols,-0.145695
col_408_ols,1.307723
col_409_ols,0.347452
col_410_ols,-0.753377
col_411_ols,0.272410
col_412_ols,0.990746
col_413_ols,-0.209411
col_414_ols,0.547010
col_415_ols,-0.577372
col_416_ols,0.252890
col_417_ols,0.095201
col_418_ols,0.530665
col_419_ols,-0.082565
col_420_ols,0.161746
col_421_ols,0.362066
col_422_ols,0.835575
col_423_ols,0.094811
col_424_ols,-0.098063
col_425_ols,0.359013
col_426_ols,-0.666094
col_427_ols,0.445498
col_428_ols,0.554267
col_429_ols,-0.926651
col_430_ols,-0.373745
col_431_ols,0.137239
col_432_ols,0.161162
col_433_ols,-0.357206
col_434_ols,0.127565
col_435_ols,-1.282981
col_436_ols,0.897022
col_437_ols,-0.106562
col_438_ols,-1.303540
col_439_ols,0.019213
col_440_ols,-0.009021
col_441_ols,0.138226
col_442_ols,0.310887
col_443_ols,-0.107797
col_444_ols,0.435438
col_445_ols,-0.218563
col_446_ols,-0.330930
col_447_ols,-0.524798
col_448_ols,0.352500
col_449_ols,0.245797
col_450_ols,-0.212162
col_451_ols,0.507902
col_452_ols,-0.363971
col_453_ols,0.012733
col_454_ols,0.565076
col_455_ols,-0.254016
col_456_ols,-0.229585
col_457_ols,-0.338714
col_458_ols,-0.490913
col_459_ols,0.011547
col_460_ols,-0.292845
col_461_ols,-0.030200
col_462_ols,0.150886
col_463_ols,-0.034661
col_464_ols,0.181738
col_465_ols,-0.149047
col_466_ols,0.192667
col_467_ols,0.284767
col_468_ols,0.387172
col_469_ols,-0.096310
col_470_ols,0.447134
col_471_ols,0.532036
col_472_ols,-0.242426
col_473_ols,0.310212
col_474_ols,-0.288833
col_475_ols,0.068097
col_476_ols,0.064194
col_477_ols,1.091667
col_478_ols,0.318162
col_479_ols,-0.483860
col_480_ols,0.362373
col_481_ols,-0.187645
col_482_ols,0.042458
col_483_ols,0.016691
col_484_ols,-0.210934
col_485_ols,-0.504348
col_486_ols,-0.703819
col_487_ols,0.478966
col_488_ols,1.019737
col_489_ols,-0.334789
col_490_ols,-0.251383
col_491_ols,-0.204910
col_492_ols,-0.412224
col_493_ols,-0.714943
col_494_ols,0.801122
col_495_ols,-0.952232
col_496_ols,-0.178043
col_497_ols,-0.445409
col_498_ols,0.458197
col_499_ols,0.728992
col_500_ols,-0.633501
col_501_ols,0.067196
col_502_ols,-0.640648
col_503_ols,0.291897
col_504_ols,0.493579
col_505_ols,-0.907964
col_506_ols,-0.623815
col_507_ols,0.079622
col_508_ols,-0.463095
col_509_ols,-0.006027
col_510_ols,-0.961312
col_511_ols,-1.191930
col_512_ols,-0.154123
col_513_ols,0.280835
col_514_ols,0.227419
col_515_ols,0.314476
col_516_ols,0.490438
col_517_ols,0.560717
col_518_ols,0.205159
col_519_ols,-0.076268
col_520_ols,0.013013
col_521_ols,-0.073879
col_522_ols,0.311745
col_523_ols,-0.177362
col_524_ols,-0.169741
col_525_ols,0.041183
col_526_ols,-0.657754
col_527_ols,-0.314923
col_528_ols,-1.047583
col_529_ols,-0.195686
col_530_ols,-0.262566
col_531_ols,0.562637
col_532_ols,0.152610
col_533_ols,-0.385209
col_534_ols,-0.333848
col_535_ols,0.083651
col_536_ols,0.534217
col_537_ols,0.412992
col_538_ols,-0.187564
col_539_ols,0.254576
col_540_ols,0.074600
col_541_ols,-1.202007
col_542_ols,0.905726
col_543_ols,-0.741439
col_544_ols,0.280802
col_545_ols,-0.167064
col_546_ols,0.287307
col_547_ols,-0.346029
col_548_ols,0.649057
col_549_ols,-0.507200
col_550_ols,-0.372902
col_551_ols,-0.987507
col_552_ols,-1.208529
col_553_ols,-0.083228
col_554_ols,0.134737
col_555_ols,-0.355618
col_556_ols,-0.386283
col_557_ols,0.493856
col_558_ols,0.265079
col_559_ols,-0.133202
col_560_ols,0.259682
col_561_ols,0.128966
col_562_ols,0.847695
col_563_ols,0.264782
col_564_ols,0.210802
col_565_ols,0.240252
col_566_ols,-0.541200
col_567_ols,-0.246811
col_568_ols,-0.151280
col_569_ols,0.904674
col_570_ols,0.185427
col_571_ols,-0.368559
col_572_ols,0.051399
col_573_ols,-0.086876
col_574_ols,-0.300338
col_575_ols,-0.415532
col_576_ols,0.367197
col_577_ols,-0.546092
col_578_ols,-0.570516
col_579_ols,0.057994
col_580_ols,-0.219835
col_581_ols,-0.163580
col_582_ols,0.103005
col_583_ols,0.401624
col_584_ols,0.619284
col_585_ols,0.230441
col_586_ols,-0.501338
col_587_ols,-0.112722
col_588_ols,0.856893
col_589_ols,-0.201564
col_590_ols,-0.447737
col_591_ols,0.430112
col_592_ols,0.596202
col_593_ols,-0.371583
col_594_ols,0.487135
col_595_ols,0.420947
col_596_ols,-0.175295
col_597_ols,-0.228606
col_598_ols,-0.965685
col_599_ols,-0.635094
col_600_ols,0.490953
col_601_ols,0.260588
col_602_ols,-0.511940
col_603_ols,0.080133
col_604_ols,-0.134316
col_605_ols,0.971166
col_606_ols,0.327664
col_607_ols,-0.896011
col_608_ols,-0.258579
col_609_ols,0.008575
col_610_ols,0.239533
col_611_ols,-0.062530
col_612_ols,0.051250
col_613_ols,0.124656
col_614_ols,0.330330
col_615_ols,-0.819931
col_616_ols,0.342776
col_617_ols,0.451035
col_618_ols,0.378703
col_619_ols,-0.124604
col_620_ols,-0.150555
col_621_ols,0.334629
col_622_ols,0.313799
col_623_ols,0.284307
col_624_ols,0.787718
col_625_ols,0.498573
col_626_ols,1.109712
col_627_ols,0.176369
col_628_ols,0.343893
col_629_ols,-0.413716
col_630_ols,0.025566
col_631_ols,-0.373162
col_632_ols,-0.144783
col_633_ols,-0.066262
col_634_ols,-0.395421
col_635_ols,0.130326
col_636_ols,-0.690574
col_637_ols,0.329608
col_638_ols,-0.125161
col_639_ols,-0.251046
col_640_ols,0.058682
col_641_ols,0.235902
col_642_ols,-0.249400
col_643_ols,0.096562
col_644_ols,-0.388949
col_645_ols,-0.197977
col_646_ols,-1.052208
col_647_ols,0.624219
col_648_ols,-0.177444
col_649_ols,0.454002
col_650_ols,-0.968719
col_651_ols,-0.574084
col_652_ols,0.672678
col_653_ols,0.250019
col_654_ols,-0.267011
col_655_ols,0.393613
col_656_ols,0.262344
col_657_ols,-0.139456
col_658_ols,0.423396
col_659_ols,0.803424
col_660_ols,-0.094294
col_661_ols,1.252004
col_662_ols,-1.163677
col_663_ols,-0.903968
col_664_ols,0.095798
col_665_ols,-0.527226
col_666_ols,0.744580
col_667_ols,0.130316
col_668_ols,-0.615526
col_669_ols,-0.831479
col_670_ols,-0.255643
col_671_ols,0.104116
col_672_ols,-0.199705
col_673_ols,0.677203
col_674_ols,0.201708
col_675_ols,-0.802197
col_676_ols,0.033476
col_677_ols,0.069945
col_678_ols,-0.547961
col_679_ols,-0.282243
col_680_ols,-0.901466
col_681_ols,1.173153
col_682_ols,-0.323923
col_683_ols,0.538077
col_684_ols,0.762787
col_685_ols,-0.039854
col_686_ols,0.542562
col_687_ols,0.822781
col_688_ols,0.157765
col_689_ols,-0.012649
col_690_ols,0.050839
col_691_ols,0.779411
col_692_ols,-0.797900
col_693_ols,0.125494
col_694_ols,0.389834
col_695_ols,-0.466828
col_696_ols,0.161310
col_697_ols,0.320602
col_698_ols,0.800441
col_699_ols,-0.243777
col_700_ols,-0.273889
col_701_ols,0.089166
col_702_ols,-0.387896
col_703_ols,0.586334
col_704_ols,-0.524475
col_705_ols,-0.827091
col_706_ols,-0.550600
col_707_ols,-0.261242
col_708_ols,-0.376886
col_709_ols,-1.096461
col_710_ols,-0.244015
col_711_ols,0.047738
col_712_ols,-0.248268
col_713_ols,0.503073
col_714_ols,0.102204
col_715_ols,-0.106725
col_716_ols,0.219382
col_717_ols,0.284078
col_718_ols,-1.132616
col_719_ols,0.467865
col_720_ols,0.341147
col_721_ols,-0.112831
col_722_ols,-0.453412
col_723_ols,-0.834136
col_724_ols,0.306839
col_725_ols,0.697029
col_726_ols,0.007714
col_727_ols,0.558690
col_728_ols,-0.065941
col_729_ols,-0.670572
col_730_ols,0.484862
col_731_ols,0.197454
col_732_ols,0.188593
col_733_ols,0.149238
col_734_ols,-0.022268
col_735_ols,0.001666
col_736_ols,0.366169
col_737_ols,-0.060945
col_738_ols,0.685886
col_739_ols,-0.197883
col_740_ols,0.012863
col_741_ols,-0.400308
col_742_ols,-1.200634
col_743_ols,-0.705028
col_744_ols,-0.319743
col_745_ols,-0.787460
col_746_ols,0.024456
col_747_ols,0.130588
col_748_ols,0.075531
col_749_ols,-0.183071
col_750_ols,-0.240966
col_751_ols,0.430668
col_752_ols,-0.577983
col_753_ols,0.055474
col_754_ols,0.248000
col_755_ols,-0.673790
col_756_ols,0.053726
col_757_ols,0.495887
col_758_ols,-0.382644
col_759_ols,0.103486
col_760_ols,-0.209134
col_761_ols,0.162746
col_762_ols,0.800014
col_763_ols,-0.839519
col_764_ols,-0.313791
col_765_ols,-0.186216
col_766_ols,-0.146931
col_767_ols,-1.152634
col_768_ols,-0.093987
col_769_ols,0.636342
col_770_ols,0.022039
col_771_ols,0.514661
col_772_ols,0.043150
col_773_ols,-0.193350
col_774_ols,-0.377384
col_775_ols,0.978450
col_776_ols,0.731997
col_777_ols,-0.182124
col_778_ols,0.223381
col_779_ols,0.078866
col_780_ols,-0.662717
col_781_ols,-0.891723
col_782_ols,-0.463102
col_783_ols,0.216387
col_784_ols,-0.232266
col_785_ols,-0.415809
col_786_ols,-0.361377
col_787_ols,-0.172385
col_788_ols,-0.476028
col_789_ols,-0.328969
col_790_ols,0.064629
col_791_ols,-0.440950
col_792_ols,0.046367
col_793_ols,0.532791
col_794_ols,-0.174818
col_795_ols,-0.652595
col_796_ols,0.518871
col_797_ols,0.642219
col_798_ols,-0.214423
col_799_ols,-0.357322
col_800_ols,0.102729
col_801_ols,-0.183546
col_802_ols,0.712342
col_803_ols,-0.459231
col_804_ols,0.433491
col_805_ols,0.028302
col_806_ols,-0.306035
col_807_ols,-0.775959
col_808_ols,0.980008
col_809_ols,0.270536
col_810_ols,0.624582
col_811_ols,0.773681
col_812_ols,0.148251
col_813_ols,0.227170
col_814_ols,-0.295281
col_815_ols,0.994747
col_816_ols,-0.456650
col_817_ols,0.210942
col_818_ols,0.141537
col_819_ols,-0.268228
col_820_ols,0.100479
col_821_ols,-0.020732
col_822_ols,0.276302
col_823_ols,-0.066333
col_824_ols,-0.952030
col_825_ols,1.326377
col_826_ols,0.320971
col_827_ols,0.520180
col_828_ols,-0.164997
col_829_ols,0.365093
col_830_ols,0.639999
col_831_ols,0.514143
col_832_ols,0.654725
col_833_ols,-0.345135
col_834_ols,0.010804
col_835_ols,-0.817579
col_836_ols,0.095169
col_837_ols,-0.970859
col_838_ols,-0.293671
col_839_ols,0.179469
col_840_ols,0.722120
col_841_ols,0.668537
col_842_ols,-0.773437
col_843_ols,-0.407747
col_844_ols,-0.631056
col_845_ols,0.543864
col_846_ols,-0.709749
col_847_ols,-0.531239
col_848_ols,0.531339
col_849_ols,-0.627158
col_850_ols,-0.698559
col_851_ols,0.264321
col_852_ols,-0.365180
col_853_ols,-1.018712
col_854_ols,-0.821077
col_855_ols,0.378672
col_856_ols,0.271295
col_857_ols,-0.005492
col_858_ols,-0.480090
col_859_ols,0.462378
col_860_ols,0.159580
col_861_ols,0.507422
col_862_ols,0.937039
col_863_ols,-0.328453
col_864_ols,-0.448265
col_865_ols,-0.077975
col_866_ols,0.086472
col_867_ols,0.441263
col_868_ols,0.234388
col_869_ols,0.216323
col_870_ols,-0.433911
col_871_ols,-0.893395
col_872_ols,-0.035430
col_873_ols,-0.476266
col_874_ols,-0.481437
col_875_ols,0.685194
col_876_ols,0.174960
col_877_ols,0.576114
col_878_ols,-0.209850
col_879_ols,-0.752277
col_880_ols,0.611433
col_881_ols,0.367098
col_882_ols,-0.783307
col_883_ols,0.365912
col_884_ols,0.369893
col_885_ols,0.388817
col_886_ols,0.643678
col_887_ols,-0.227920
col_888_ols,-0.774260
col_889_ols,0.122370
col_890_ols,0.179764
col_891_ols,-0.244175
col_892_ols,0.135036
col_893_ols,1.184102
col_894_ols,0.355138
col_895_ols,-0.209244
col_896_ols,-0.383651
col_897_ols,0.388090
col_898_ols,0.306337
col_899_ols,-0.618204
col_900_ols,0.140299
col_901_ols,-0.990755
col_902_ols,0.332975
col_903_ols,-0.492939
col_904_ols,0.226336
col_905_ols,-0.291584
col_906_ols,-0.206307
col_907_ols,0.433865
col_908_ols,0.087349
col_909_ols,0.141958
col_910_ols,-0.664379
col_911_ols,-0.191363
col_912_ols,0.154890
col_913_ols,0.570164
col_914_ols,-0.208990
col_915_ols,0.069779
col_916_ols,-0.029928
col_917_ols,-0.106635
col_918_ols,0.649679
col_919_ols,0.351697
col_920_ols,-0.048278
col_921_ols,-0.328441
col_922_ols,-0.933360
col_923_ols,0.821983
col_924_ols,-0.563519
col_925_ols,0.581533
col_926_ols,0.602346
col_927_ols,0.954100
col_928_ols,-0.237180
col_929_ols,0.636724
col_930_ols,1.006752
col_931_ols,1.447993
col_932_ols,0.149354
col_933_ols,-0.607322
col_934_ols,-0.001122
col_935_ols,0.218598
col_936_ols,-0.021098
col_937_ols,0.494406
col_938_ols,0.197613
col_939_ols,-0.155181
col_940_ols,0.668128
col_941_ols,-0.891024
col_942_ols,-0.322906
col_943_ols,-0.753176
col_944_ols,-0.052403
col_945_ols,-0.201891
col_946_ols,-0.014852
col_947_ols,-0.816610
col_948_ols,0.189072
col_949_ols,-0.447152
col_950_ols,0.559386
col_951_ols,-0.186329
col_952_ols,0.277273
col_953_ols,0.669332
col_954_ols,-0.632108
col_955_ols,-0.164936
col_956_ols,0.490949
col_957_ols,0.403574
col_958_ols,0.105756
col_959_ols,-0.101829
col_960_ols,1.112415
col_961_ols,0.061647
col_962_ols,0.825745
col_963_ols,-0.612640
col_964_ols,-0.532127
col_965_ols,-1.150814
col_966_ols,-0.981810
col_967_ols,0.592925
col_968_ols,-0.346473
col_969_ols,0.828561
col_970_ols,-0.754302
col_971_ols,-0.237131
col_972_ols,-0.442339
col_973_ols,-0.076839
col_974_ols,0.044153
col_975_ols,0.774295
col_976_ols,0.279339
col_977_ols,-0.385490
col_978_ols,-0.103044
col_979_ols,0.051584
col_980_ols,-0.699052
col_981_ols,-0.698599
col_982_ols,0.040297
col_983_ols,-0.635904
col_984_ols,0.155923
col_985_ols,-0.319325
col_986_ols,-0.780004
col_987_ols,-0.232815
col_988_ols,-0.385056
col_989_ols,-0.273918
col_990_ols,0.210012
col_991_ols,0.832479
col_992_ols,0.482644
col_993_ols,0.677770
col_994_ols,0.214052
col_995_ols,0.190111
col_996_ols,-0.443851
col_997_ols,-0.397777
col_998_ols,0.189921
col_999_ols,0.026820
